"Year","Country","Population","AverageTemperature","MinTemperature","MaxTemperature","Country Name","GDP","Emissions","TotalDeaths","TotalAffected","TotalDamage"
1960,"AUS",10276477,21.2105,20.9885,21.4325,"Australia",18573188487,8.582936643,0,0,0
1960,"BRA",72207554,24.7526666666667,24.402,25.1033333333333,"Brazil",15165569913,0.649630979,0,0,0
1960,"CAN",17909009,-4.40683333333333,-4.66458333333333,-4.14908333333333,"Canada",41093453545,10.77084729,0,0,0
1960,"CHN",667070000,6.89091666666667,6.66,7.12183333333333,"China",59716467625,1.170381372,0,0,0
1960,"ESP",30455000,13.7815,13.49,14.073,"Spain",12072126075,1.606592711,0,0,0
1960,"FRA",46814237,13.0276666666667,12.7135833333333,13.34175,"France",62651474947,5.793507945,0,0,0
1960,"GBR",52400000,8.91975,8.65175,9.18775,"United Kingdom",72328047042,11.15075916,0,0,0
1960,"IND",449480608,24.2871666666667,24.0303333333333,24.544,"India",36535925031,0.268269551,237,160000,0
1960,"ITA",50199700,13.0728333333333,12.7981666666667,13.3475,"Italy",40385288344,2.178444772,12,0,0
1960,"JPN",92500572,12.5998333333333,12.38325,12.8164166666667,"Japan",44307342950,2.516537519,179,0,140000
1960,"KOR",25012374,12.7395,12.496,12.983,"Korea, Rep.",3957873926,0.501837251,0,0,0
1960,"MEX",38174112,20.7465833333333,20.5166666666667,20.9765,"Mexico",1.304e+10,1.653382376,0,0,0
1960,"NGA",45137812,26.8174166666667,26.5474166666667,27.0874166666667,"Nigeria",4196092258,0.075472045,0,0,0
1960,"PAK",44908293,20.7313333333333,20.4066666666667,21.056,"Pakistan",3707055901,0.315189446,0,0,0
1960,"USA",180671000,8.69225,8.512,8.8725,"United States",5.43e+11,15.99977916,111,0,387000
1961,"AUS",10483000,21.96425,21.7455833333333,22.1829166666667,"Australia",19648336880,8.641569017,0,0,0
1961,"BRA",74351763,25.1464166666667,24.8879166666667,25.4049166666667,"Brazil",15236854859,0.661770535,323,1900,0
1961,"CAN",18271000,-5.06816666666667,-5.31316666666667,-4.82316666666667,"Canada",40767969454,10.62789765,0,0,0
1961,"CHN",660330000,7.05058333333333,6.83858333333333,7.26258333333333,"China",50056868958,0.836046901,0,0,0
1961,"ESP",30739250,14.6360833333333,14.4155833333333,14.8565833333333,"Spain",13834300571,1.74622172,0,0,0
1961,"FRA",47444751,13.7018333333333,13.4180833333333,13.9855833333333,"France",68346741504,5.927130464,21,0,0
1961,"GBR",52800000,9.00166666666667,8.73983333333333,9.2635,"United Kingdom",76694360636,11.15413892,0,0,0
1961,"IND",458494963,23.81525,23.5935833333333,24.0369166666667,"India",38709096076,0.284413565,3457,2000,0
1961,"ITA",50536350,13.5705833333333,13.3159166666667,13.82525,"Italy",44842760293,2.46455581,0,0,0
1961,"JPN",94943000,13.0455,12.8334166666667,13.2575833333333,"Japan",53508617739,2.981979388,653,1302249,0
1961,"KOR",25765673,12.879,12.6530833333333,13.1049166666667,"Korea, Rep.",2417237754,0.561314583,249,0,0
1961,"MEX",39394126,20.7239166666667,20.5294166666667,20.9184166666667,"Mexico",1.416e+10,1.657749762,436,0,0
1961,"NGA",46062905,26.3685,26.06475,26.67225,"Nigeria",4467200336,0.089320767,0,0,0
1961,"PAK",45984892,20.3768333333333,20.09825,20.6554166666667,"Pakistan",4054599181,0.318735097,0,0,0
1961,"USA",183691000,8.642,8.45475,8.82925,"United States",5.63e+11,15.68125552,162,0,408000
1962,"AUS",10742000,21.8029166666667,21.5369166666667,22.0689166666667,"Australia",19888005376,8.835688047,0,0,0
1962,"BRA",76573248,24.8423333333333,24.5755833333333,25.1090833333333,"Brazil",19926293839,0.701235515,0,0,0
1962,"CAN",18614000,-4.87383333333333,-5.16808333333333,-4.57958333333333,"Canada",41978852041,11.13062748,33,0,0
1962,"CHN",665770000,6.70366666666667,6.42625,6.98108333333333,"China",47209359006,0.661428164,0,0,0
1962,"ESP",31023366,13.8125833333333,13.5335833333333,14.0915833333333,"Spain",16138545209,1.935781533,445,0,80000
1962,"FRA",48119649,12.4143333333333,12.09575,12.7329166666667,"France",76313782252,6.207578239,0,0,0
1962,"GBR",53250000,7.994,7.6965,8.2915,"United Kingdom",80601939635,11.14292839,18,33,0
1962,"IND",467852537,23.88475,23.5974166666667,24.1720833333333,"India",41599070242,0.306651555,173,40000,0
1962,"ITA",50879450,12.658,12.3686666666667,12.9473333333333,"Italy",50383891899,2.878496387,0,0,0
1962,"JPN",95832000,12.4661666666667,12.20875,12.7235833333333,"Japan",60723018684,3.059736351,234,400,0
1962,"KOR",26513030,12.0838333333333,11.7941666666667,12.3735,"Korea, Rep.",2813933900,0.651713667,290,0,0
1962,"MEX",40649588,20.9933333333333,20.7365,21.2501666666667,"Mexico",1.52e+10,1.569744495,50,0,0
1962,"NGA",47029140,26.6889166666667,26.3576666666667,27.0201666666667,"Nigeria",4909302954,0.088889144,0,0,0
