"Year","Country","CountryName","Population","AverageTemperature","MinTemperature","MaxTemperature","GDP","Emissions","TotalDeaths","TotalAffected","TotalDamage"
1960,"AUS","Australia",10276477,21.2105,20.9885,21.4325,18573188487,88.1189,NA,NA,NA
1960,"BGD","Bangladesh",48199747,25.48425,25.2119166666667,25.7565833333333,4274893913,2.2119,18149,0,0
1960,"BRA","Brazil",72207554,24.7526666666667,24.402,25.1033333333333,15165569913,46.8518,NA,NA,NA
1960,"CAN","Canada",17909009,-4.40683333333333,-4.66458333333333,-4.14908333333333,41093453545,192.7162,NA,NA,NA
1960,"CHN","China",667070000,6.89091666666667,6.66,7.12183333333333,59716467625,778.9795,NA,NA,NA
1960,"DEU","Germany",72814900,8.51416666666667,8.297,8.73133333333333,NA,813.9502,NA,NA,NA
1960,"ESP","Spain",30455000,13.7815,13.49,14.073,12072126075,48.8656,NA,NA,NA
1960,"FRA","France",46814237,13.0276666666667,12.7135833333333,13.34175,62651474947,271.3608,NA,NA,NA
1960,"GBR","United Kingdom",52400000,8.91975,8.65175,9.18775,72328047042,584.02,NA,NA,NA
1960,"IDN","Indonesia",87792515,26.0291666666667,25.7945833333333,26.26375,NA,21.3852,NA,NA,NA
1960,"IND","India",449480608,24.2871666666667,24.0303333333333,24.544,36535925031,120.576,237,160000,0
1960,"ITA","Italy",50199700,13.0728333333333,12.7981666666667,13.3475,40385288344,109.2031,12,0,0
1960,"JPN","Japan",92500572,12.5998333333333,12.38325,12.8164166666667,44307342950,232.4996,179,0,0
1960,"MEX","Mexico",38174112,20.7465833333333,20.5166666666667,20.9765,1.304e+10,63.0523,NA,NA,NA
1960,"NGA","Nigeria",45137812,26.8174166666667,26.5474166666667,27.0874166666667,4196092258,3.4032,NA,NA,NA
1960,"PAK","Pakistan",44908293,20.7313333333333,20.4066666666667,21.056,3707055901,11.9264,NA,NA,NA
1960,"RUS","Russian Federation",119897000,-5.936,-6.2055,-5.6665,NA,889.983,NA,NA,NA
1961,"AUS","Australia",10483000,21.96425,21.7455833333333,22.1829166666667,19648336880,90.5039,NA,NA,NA
1961,"BGD","Bangladesh",49592802,25.06975,24.83825,25.30125,4817580184,2.2904,11266,0,11900
1961,"BRA","Brazil",74351763,25.1464166666667,24.8879166666667,25.4049166666667,15236854859,49.1445,323,1900,0
