Year,Country,Population,AverageTemperature,Country.Name,GDP,Emissions,TotalDeaths,TotalAffected,TotalDamage,MeanTemperature,anamoly
1960,AUS,10276477,21.2105,Australia,18573188487,8.582936643,0,0,0,22.0145471698113,0.804047169811319
1960,BRA,72207554,24.7526666666667,Brazil,15165569913,0.649630979,0,0,0,25.2288349056604,0.476168238993679
1960,CAN,17909009,-4.40683333333333,Canada,41093453545,10.77084729,0,0,0,-4.37132716049383,0.035506172839503
1960,CHN,667070000,6.89091666666667,China,59716467625,1.170381372,0,0,0,7.13916981132075,0.248253144654084
1960,ESP,30455000,13.7815,Spain,12072126075,1.606592711,0,0,0,14.113213836478,0.331713836477991
1960,FRA,46814237,13.0276666666667,France,62651474947,5.793507945,0,0,0,13.3241273584906,0.296460691823871
1960,GBR,52400000,8.91975,United Kingdom,72328047042,11.15075916,0,0,0,8.96133173076923,0.041581730769231
1960,IND,449480608,24.2871666666667,India,36535925031,0.268269551,237,160000,0,24.3524496855346,0.065283018867891
1960,ITA,50199700,13.0728333333333,Italy,40385288344,2.178444772,12,0,0,13.2578726415094,0.185039308176128
1960,JPN,92500572,12.5998333333333,Japan,44307342950,2.516537519,179,0,140000,12.4686210691824,-0.131212264150909
1960,KOR,25012374,12.7395,"Korea, Rep.",3957873926,0.501837251,0,0,0,12.4023286163522,-0.337171383647799
1960,MEX,38174112,20.7465833333333,Mexico,13040000000,1.653382376,0,0,0,20.9283667695473,0.181783436214019
1960,NGA,45137812,26.8174166666667,Nigeria,4196092258,0.075472045,0,0,0,27.0908977987421,0.273481132075446
1960,PAK,44908293,20.7313333333333,Pakistan,3707055901,0.315189446,0,0,0,21.0765581761006,0.345224842767326
1960,USA,180671000,8.69225,United States,543000000000,15.99977916,111,0,387000,9.175704218107,0.483454218106996
1961,AUS,10483000,21.96425,Australia,19648336880,8.641569017,0,0,0,22.0145471698113,0.050297169811319
1961,BRA,74351763,25.1464166666667,Brazil,15236854859,0.661770535,323,1900,0,25.2288349056604,0.082418238993679
1961,CAN,18271000,-5.06816666666667,Canada,40767969454,10.62789765,0,0,0,-4.37132716049383,0.696839506172843
1961,CHN,660330000,7.05058333333333,China,50056868958,0.836046901,0,0,0,7.13916981132075,0.088586477987424
1961,ESP,30739250,14.6360833333333,Spain,13834300571,1.74622172,0,0,0,14.113213836478,-0.522869496855309
1961,FRA,47444751,13.7018333333333,France,68346741504,5.927130464,21,0,0,13.3241273584906,-0.377705974842728
1961,GBR,52800000,9.00166666666667,United Kingdom,76694360636,11.15413892,0,0,0,8.96133173076923,-0.040334935897439
1961,IND,458494963,23.81525,India,38709096076,0.284413565,3457,2000,0,24.3524496855346,0.537199685534592
1961,ITA,50536350,13.5705833333333,Italy,44842760293,2.46455581,0,0,0,13.2578726415094,-0.312710691823872
1961,JPN,94943000,13.0455,Japan,53508617739,2.981979388,653,1302249,0,12.4686210691824,-0.576878930817609
1961,KOR,25765673,12.879,"Korea, Rep.",2417237754,0.561314583,249,0,0,12.4023286163522,-0.476671383647799
1961,MEX,39394126,20.7239166666667,Mexico,14160000000,1.657749762,436,0,0,20.9283667695473,0.204450102880621
1961,NGA,46062905,26.3685,Nigeria,4467200336,0.089320767,0,0,0,27.0908977987421,0.722397798742143
1961,PAK,45984892,20.3768333333333,Pakistan,4054599181,0.318735097,0,0,0,21.0765581761006,0.699724842767328
1961,USA,183691000,8.642,United States,563000000000,15.68125552,162,0,408000,9.175704218107,0.533704218106996
1962,AUS,10742000,21.8029166666667,Australia,19888005376,8.835688047,0,0,0,22.0145471698113,0.211630503144619
