Series Code,Country Name,Country Code,Year,GDP
NY.GDP.MKTP.CD,Afghanistan,AFG,1960,537777811.1
NY.GDP.MKTP.CD,Albania,ALB,1960,NA
NY.GDP.MKTP.CD,Algeria,DZA,1960,2723648552
NY.GDP.MKTP.CD,Andorra,AND,1960,NA
NY.GDP.MKTP.CD,Angola,AGO,1960,NA
NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1960,NA
NY.GDP.MKTP.CD,Argentina,ARG,1960,NA
NY.GDP.MKTP.CD,Armenia,ARM,1960,NA
NY.GDP.MKTP.CD,Australia,AUS,1960,18573188487
NY.GDP.MKTP.CD,Austria,AUT,1960,6592693841
NY.GDP.MKTP.CD,Azerbaijan,AZE,1960,NA
NY.GDP.MKTP.CD,"Bahamas, The",BHS,1960,169803921.6
NY.GDP.MKTP.CD,Bahrain,BHR,1960,NA
NY.GDP.MKTP.CD,Bangladesh,BGD,1960,4274893913
NY.GDP.MKTP.CD,Barbados,BRB,1960,NA
NY.GDP.MKTP.CD,Belarus,BLR,1960,NA
NY.GDP.MKTP.CD,Belgium,BEL,1960,11658722591
NY.GDP.MKTP.CD,Belize,BLZ,1960,28071888.56
NY.GDP.MKTP.CD,Benin,BEN,1960,226195579.4
NY.GDP.MKTP.CD,Bermuda,BMU,1960,84466654.08
NY.GDP.MKTP.CD,Bhutan,BTN,1960,NA
NY.GDP.MKTP.CD,Bolivia,BOL,1960,563110051.9
NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,1960,NA
NY.GDP.MKTP.CD,Botswana,BWA,1960,30412308.99
NY.GDP.MKTP.CD,Brazil,BRA,1960,15165569913
NY.GDP.MKTP.CD,British Virgin Islands,VGB,1960,NA
NY.GDP.MKTP.CD,Brunei Darussalam,BRN,1960,NA
NY.GDP.MKTP.CD,Bulgaria,BGR,1960,NA
NY.GDP.MKTP.CD,Burkina Faso,BFA,1960,330442817.2
NY.GDP.MKTP.CD,Burundi,BDI,1960,195999990
NY.GDP.MKTP.CD,Cabo Verde,CPV,1960,NA
NY.GDP.MKTP.CD,Cambodia,KHM,1960,637142865.7
NY.GDP.MKTP.CD,Cameroon,CMR,1960,618740988
NY.GDP.MKTP.CD,Canada,CAN,1960,41093453545
NY.GDP.MKTP.CD,Chad,TCD,1960,313582727.6
NY.GDP.MKTP.CD,Chile,CHL,1960,4.11E+09
NY.GDP.MKTP.CD,China,CHN,1960,59716467625
NY.GDP.MKTP.CD,Colombia,COL,1960,4040948154
NY.GDP.MKTP.CD,Comoros,COM,1960,NA
NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,1960,3359404118
NY.GDP.MKTP.CD,"Congo, Rep.",COG,1960,131731862.6
NY.GDP.MKTP.CD,Costa Rica,CRI,1960,507513830
NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,1960,546203561.6
NY.GDP.MKTP.CD,Croatia,HRV,1960,NA
NY.GDP.MKTP.CD,Cuba,CUB,1960,NA
NY.GDP.MKTP.CD,Curacao,CUW,1960,NA
NY.GDP.MKTP.CD,Cyprus,CYP,1960,NA
NY.GDP.MKTP.CD,Czech Republic,CZE,1960,NA
NY.GDP.MKTP.CD,Denmark,DNK,1960,6248946880
NY.GDP.MKTP.CD,Djibouti,DJI,1960,NA
NY.GDP.MKTP.CD,Dominica,DMA,1960,NA
NY.GDP.MKTP.CD,Dominican Republic,DOM,1960,672399700
NY.GDP.MKTP.CD,Ecuador,ECU,1960,1010325138
NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,1960,NA
NY.GDP.MKTP.CD,El Salvador,SLV,1960,NA
NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,1960,NA
NY.GDP.MKTP.CD,Eritrea,ERI,1960,NA
NY.GDP.MKTP.CD,Estonia,EST,1960,NA
NY.GDP.MKTP.CD,Eswatini,SWZ,1960,35076158.48
NY.GDP.MKTP.CD,Ethiopia,ETH,1960,NA
NY.GDP.MKTP.CD,Fiji,FJI,1960,112328422.1
NY.GDP.MKTP.CD,Finland,FIN,1960,5224102196
NY.GDP.MKTP.CD,France,FRA,1960,62651474947
NY.GDP.MKTP.CD,French Polynesia,PYF,1960,NA
NY.GDP.MKTP.CD,Gabon,GAB,1960,141468977.6
NY.GDP.MKTP.CD,"Gambia, The",GMB,1960,NA
NY.GDP.MKTP.CD,Georgia,GEO,1960,NA
NY.GDP.MKTP.CD,Germany,DEU,1960,NA
NY.GDP.MKTP.CD,Ghana,GHA,1960,1217230038
NY.GDP.MKTP.CD,Gibraltar,GIB,1960,NA
NY.GDP.MKTP.CD,Greece,GRC,1960,4446528165
NY.GDP.MKTP.CD,Greenland,GRL,1960,NA
NY.GDP.MKTP.CD,Grenada,GRD,1960,NA
NY.GDP.MKTP.CD,Guatemala,GTM,1960,1043599900
NY.GDP.MKTP.CD,Guinea,GIN,1960,NA
NY.GDP.MKTP.CD,Guinea-Bissau,GNB,1960,NA
NY.GDP.MKTP.CD,Guyana,GUY,1960,170215248.2
