Country,Year,Population
ABW,1960,54211
ABW,1961,55438
ABW,1962,56225
ABW,1963,56695
ABW,1964,57032
ABW,1965,57360
ABW,1966,57715
ABW,1967,58055
ABW,1968,58386
ABW,1969,58726
ABW,1970,59063
ABW,1971,59440
ABW,1972,59840
ABW,1973,60243
ABW,1974,60528
ABW,1975,60657
ABW,1976,60586
ABW,1977,60366
ABW,1978,60103
ABW,1979,59980
ABW,1980,60096
ABW,1981,60567
ABW,1982,61345
ABW,1983,62201
ABW,1984,62836
ABW,1985,63026
ABW,1986,62644
ABW,1987,61833
ABW,1988,61079
ABW,1989,61032
ABW,1990,62149
ABW,1991,64622
ABW,1992,68235
ABW,1993,72504
ABW,1994,76700
ABW,1995,80324
ABW,1996,83200
ABW,1997,85451
ABW,1998,87277
ABW,1999,89005
ABW,2000,90853
ABW,2001,92898
ABW,2002,94992
ABW,2003,97017
ABW,2004,98737
ABW,2005,100031
ABW,2006,100832
ABW,2007,101220
ABW,2008,101353
ABW,2009,101453
ABW,2010,101669
ABW,2011,102053
ABW,2012,102577
ABW,2013,103187
ABW,2014,103795
ABW,2015,104341
ABW,2016,104822
ABW,2017,105264
AFG,1960,8996351
AFG,1961,9166764
AFG,1962,9345868
AFG,1963,9533954
AFG,1964,9731361
AFG,1965,9938414
AFG,1966,10152331
AFG,1967,10372630
AFG,1968,10604346
AFG,1969,10854428
AFG,1970,11126123
AFG,1971,11417825
AFG,1972,11721940
AFG,1973,12027822
AFG,1974,12321541
AFG,1975,12590286
AFG,1976,12840299
AFG,1977,13067538
AFG,1978,13237734
AFG,1979,13306695
AFG,1980,13248370
AFG,1981,13053954
AFG,1982,12749645
AFG,1983,12389269
AFG,1984,12047115
AFG,1985,11783050
AFG,1986,11601041
AFG,1987,11502761
AFG,1988,11540888
AFG,1989,11777609
AFG,1990,12249114
AFG,1991,12993657
AFG,1992,13981231
AFG,1993,15095099
AFG,1994,16172719
AFG,1995,17099541
AFG,1996,17822884
AFG,1997,18381605
AFG,1998,18863999
AFG,1999,19403676
AFG,2000,20093756
AFG,2001,20966463
AFG,2002,21979923
AFG,2003,23064851
AFG,2004,24118979
AFG,2005,25070798
AFG,2006,25893450
AFG,2007,26616792
AFG,2008,27294031
AFG,2009,28004331
AFG,2010,28803167
AFG,2011,29708599
AFG,2012,30696958
AFG,2013,31731688
AFG,2014,32758020
AFG,2015,33736494
AFG,2016,34656032
AFG,2017,35530081
AGO,1960,5643182
AGO,1961,5753024
AGO,1962,5866061
AGO,1963,5980417
AGO,1964,6093321
AGO,1965,6203299
AGO,1966,6309770
AGO,1967,6414995
AGO,1968,6523791
AGO,1969,6642632
AGO,1970,6776381
AGO,1971,6927269
AGO,1972,7094834
AGO,1973,7277960
AGO,1974,7474338
AGO,1975,7682479
AGO,1976,7900997
AGO,1977,8130988
AGO,1978,8376147
AGO,1979,8641521
AGO,1980,8929900
AGO,1981,9244507
AGO,1982,9582156
AGO,1983,9931562
AGO,1984,10277321
AGO,1985,10609042
AGO,1986,10921037
AGO,1987,11218268
AGO,1988,11513968
AGO,1989,11827237
AGO,1990,12171441
AGO,1991,12553446
AGO,1992,12968345
AGO,1993,13403734
AGO,1994,13841301
AGO,1995,14268994
AGO,1996,14682284
AGO,1997,15088981
AGO,1998,15504318
AGO,1999,15949766
AGO,2000,16440924
AGO,2001,16983266
AGO,2002,17572649
AGO,2003,18203369
AGO,2004,18865716
AGO,2005,19552542
AGO,2006,20262399
AGO,2007,20997687
AGO,2008,21759420
AGO,2009,22549547
AGO,2010,23369131
AGO,2011,24218565
AGO,2012,25096150
AGO,2013,25998340
AGO,2014,26920466
AGO,2015,27859305
AGO,2016,28813463
AGO,2017,29784193
ALB,1960,1608800
ALB,1961,1659800
ALB,1962,1711319
ALB,1963,1762621
ALB,1964,1814135
ALB,1965,1864791
ALB,1966,1914573
ALB,1967,1965598
ALB,1968,2022272
ALB,1969,2081695
ALB,1970,2135479
ALB,1971,2187853
ALB,1972,2243126
ALB,1973,2296752
ALB,1974,2350124
ALB,1975,2404831
ALB,1976,2458526
ALB,1977,2513546
ALB,1978,2566266
ALB,1979,2617832
ALB,1980,2671997
ALB,1981,2726056
ALB,1982,2784278
ALB,1983,2843960
ALB,1984,2904429
ALB,1985,2964762
ALB,1986,3022635
ALB,1987,3083605
ALB,1988,3142336
ALB,1989,3227943
ALB,1990,3286542
ALB,1991,3266790
ALB,1992,3247039
ALB,1993,3227287
ALB,1994,3207536
ALB,1995,3187784
ALB,1996,3168033
ALB,1997,3148281
ALB,1998,3128530
ALB,1999,3108778
ALB,2000,3089027
ALB,2001,3060173
ALB,2002,3051010
ALB,2003,3039616
ALB,2004,3026939
ALB,2005,3011487
ALB,2006,2992547
ALB,2007,2970017
ALB,2008,2947314
ALB,2009,2927519
ALB,2010,2913021
ALB,2011,2905195
ALB,2012,2900401
ALB,2013,2895092
ALB,2014,2889104
ALB,2015,2880703
ALB,2016,2876101
ALB,2017,2873457
AND,1960,13411
AND,1961,14375
AND,1962,15370
AND,1963,16412
AND,1964,17469
AND,1965,18549
AND,1966,19647
AND,1967,20758
AND,1968,21890
AND,1969,23058
AND,1970,24276
AND,1971,25559
AND,1972,26892
AND,1973,28232
AND,1974,29520
AND,1975,30705
AND,1976,31777
AND,1977,32771
AND,1978,33737
AND,1979,34818
AND,1980,36067
AND,1981,37500
AND,1982,39114
AND,1983,40867
AND,1984,42706
AND,1985,44600
AND,1986,46517
AND,1987,48455
AND,1988,50434
AND,1989,52448
AND,1990,54509
AND,1991,56671
AND,1992,58888
AND,1993,60971
AND,1994,62677
AND,1995,63850
AND,1996,64360
AND,1997,64327
AND,1998,64142
AND,1999,64370
AND,2000,65390
AND,2001,67341
AND,2002,70049
AND,2003,73182
AND,2004,76244
AND,2005,78867
AND,2006,80991
AND,2007,82683
AND,2008,83861
AND,2009,84462
AND,2010,84449
AND,2011,83751
AND,2012,82431
AND,2013,80788
AND,2014,79223
AND,2015,78014
AND,2016,77281
AND,2017,76965
ARB,1960,92490932
ARB,1961,95044497
ARB,1962,97682294
ARB,1963,100411076
ARB,1964,103239902
ARB,1965,106174988
ARB,1966,109230593
ARB,1967,112406932
ARB,1968,115680165
ARB,1969,119016542
ARB,1970,122398374
ARB,1971,125807419
ARB,1972,129269375
ARB,1973,132863416
ARB,1974,136696761
ARB,1975,140843298
ARB,1976,145332378
ARB,1977,150133054
ARB,1978,155183724
ARB,1979,160392488
ARB,1980,165689490
ARB,1981,171051950
ARB,1982,176490084
ARB,1983,182005827
ARB,1984,187610756
ARB,1985,193310301
ARB,1986,199093767
ARB,1987,204942549
ARB,1988,210844771
ARB,1989,216787402
ARB,1990,224735446
ARB,1991,230829868
ARB,1992,235037179
ARB,1993,241286091
ARB,1994,247435930
ARB,1995,255029671
ARB,1996,260843462
ARB,1997,266575075
ARB,1998,272235146
ARB,1999,277962869
ARB,2000,283832016
ARB,2001,289850357
ARB,2002,296026575
ARB,2003,302434519
ARB,2004,309162029
ARB,2005,316264728
ARB,2006,323773264
ARB,2007,331653797
ARB,2008,339825483
ARB,2009,348145094
ARB,2010,356508908
ARB,2011,364895878
ARB,2012,373306993
ARB,2013,381702086
ARB,2014,390043028
ARB,2015,398304960
ARB,2016,406452690
ARB,2017,414491886
ARE,1960,92634
ARE,1961,101078
ARE,1962,112472
ARE,1963,125566
ARE,1964,138529
ARE,1965,150362
ARE,1966,160481
ARE,1967,170283
ARE,1968,183194
ARE,1969,203820
ARE,1970,235499
ARE,1971,278808
ARE,1972,332760
ARE,1973,397174
ARE,1974,471364
ARE,1975,554324
ARE,1976,646943
ARE,1977,748117
ARE,1978,852262
ARE,1979,952040
ARE,1980,1042384
ARE,1981,1120900
ARE,1982,1189545
ARE,1983,1253060
ARE,1984,1318478
ARE,1985,1391052
ARE,1986,1472218
ARE,1987,1560718
ARE,1988,1655849
ARE,1989,1756043
ARE,1990,1860174
ARE,1991,1970026
ARE,1992,2086639
ARE,1993,2207405
ARE,1994,2328686
ARE,1995,2448820
ARE,1996,2571020
ARE,1997,2700010
ARE,1998,2838145
ARE,1999,2988162
ARE,2000,3154925
ARE,2001,3326032
ARE,2002,3507232
ARE,2003,3741932
ARE,2004,4087931
ARE,2005,4579562
ARE,2006,5242032
ARE,2007,6044067
ARE,2008,6894278
ARE,2009,7666393
ARE,2010,8270684
ARE,2011,8672475
ARE,2012,8900453
ARE,2013,9006263
ARE,2014,9070867
ARE,2015,9154302
ARE,2016,9269612
ARE,2017,9400145
ARG,1960,20619075
ARG,1961,20953077
ARG,1962,21287682
ARG,1963,21621840
ARG,1964,21953929
ARG,1965,22283390
ARG,1966,22608748
ARG,1967,22932203
ARG,1968,23261278
ARG,1969,23605987
ARG,1970,23973058
ARG,1971,24366439
ARG,1972,24782949
ARG,1973,25213388
ARG,1974,25644506
ARG,1975,26066975
ARG,1976,26477152
ARG,1977,26878565
ARG,1978,27277741
ARG,1979,27684534
ARG,1980,28105888
ARG,1981,28543364
ARG,1982,28993987
ARG,1983,29454738
ARG,1984,29920904
ARG,1985,30388783
ARG,1986,30857244
